age_group,education,gender,nationality,electoral_district,unit,EKRE,Eesti 200,Hard to say,Isamaa,Keskerakond,Mitte ükski erakond,Other,Parempoolsed,Reformierakond,Rohelised,SDE,N
35-44,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,3,0,0,0,0,0,0,0,0,0,0,3
35-44,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,0,1,0,0,0,0,1,0,1,0,1,4
35-44,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,1,2,0,2,1,0,0,0,0,0,1,7
35-44,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,5,4,3,1,1,3,0,0,8,1,1,27
35-44,Secondary education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,1,1,0,0,0,1,0,0,4,0,0,7
35-44,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,0,0,1,0,0,1,0,0,0,0,0,2
35-44,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,0,0,0,0,1,2,0,0,1,1,0,5
35-44,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,0,0,0,1,0,2,0,0,2,0,0,5
35-44,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,0,0,1,0,2,2,0,0,1,0,0,6
35-44,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,3,0,0,0,0,0,0,0,2,0,0,5
35-44,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,3,0,2,1,1,2,0,0,0,0,1,10
35-44,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,1,0,1,1,1,1,0,0,1,0,0,6
35-44,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,3,0,3,0,0,0,0,0,2,0,0,8
35-44,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,1,2,2,1,0,0,0,0,1,0,0,7
35-44,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,0,0,1,0,0,1,0,0,2,0,1,5
35-44,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,0,0,0,0,0,1,0,0,0,0,0,1
